property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/4434-Katrina-Ct-NE_Salem_OR_97305_M16298-55454,4434 Katrina Ct NE,,443000.0,217680.0,104000.0,2023-01-27,29.7,1674.0,3.0,2.5,Unknown,2023-07-02 23:03:51.744471744,3541.0,6500.0,False,2.0,11415.0,
https://www.realtor.com/realestateandhomes-detail/1010-Pastureland-Ln-NE_Salem_OR_97317_M21474-53502,1010 Pastureland Ln NE,,539500.0,312440.0,125000.0,2022-12-30,30.6,1782.0,3.3,2.4,Unknown,2023-06-04 23:03:51.744471744,4527.0,7372.3,False,1.4,13538.0,
https://www.realtor.com/realestateandhomes-detail/2195-Vaughn-Ave-NE_Salem_OR_97305_M16203-52639,2195 Vaughn Ave NE,,419000.0,232800.0,209000.0,2024-10-07,9.4,1645.0,3.0,2.2,North Lancaster,2025-03-12 23:03:51.744471744,4570.0,9750.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/6880-Fairway-Ave-SE_Salem_OR_97306_M24682-61479,6880 Fairway Ave SE,,127400.0,60179.5,50000.0,2024-05-02,14.6,1152.0,2.0,1.6,South Gateway,2024-03-01 00:00:00.000000000,1076.3,4765.9,False,1.4,5318.0,
https://www.realtor.com/realestateandhomes-detail/531-Gerth-Ave-NW_Salem_OR_97304_M14456-45863,531 Gerth Ave NW,,363600.0,152390.0,139000.0,2024-04-11,15.2,1344.0,4.0,1.8,West Salem,2024-09-14 23:03:51.744471744,2871.0,5000.0,False,1.0,14735.0,
https://www.realtor.com/realestateandhomes-detail/4378-Essex-St-SE_Salem_OR_97317_M21871-45948,4378 Essex St SE,,111000.0,37990.0,40000.0,2024-02-23,16.8,1440.0,2.0,2.0,Southeast Mill Creek,2024-01-03 00:00:00.000000000,755.0,5957.4,False,1.4,4221.0,
https://www.realtor.com/realestateandhomes-detail/2190-Tuscana-Ave-S_Salem_OR_97306_M15759-49305,2190 Tuscana Ave S,,695400.0,359090.0,115000.0,2021-05-28,49.7,2513.0,4.6,3.4,Sunnyslope,2021-10-31 23:03:51.744471744,7050.0,11080.0,False,1.4,11677.0,
https://www.realtor.com/realestateandhomes-detail/3260-Aster-St-NW_Salem_OR_97304_M95862-50571,3260 Aster St NW,,,547160.0,215000.0,2022-04-14,39.2,1910.8,4.0,2.6,West Salem,2022-09-17 23:03:51.744471744,6928.0,7905.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/3200-Turner-Rd-SE_Salem_OR_97302_M22914-34583,3200 Turner Rd SE,,100000.0,21760.0,55000.0,2024-11-15,8.1,1008.0,2.0,1.4,Southeast Mill Creek,2024-11-02 00:00:00.000000000,423.0,4170.2,False,1.4,5568.0,
https://www.realtor.com/realestateandhomes-detail/2243-Joplin-Ct-S_Salem_OR_97302_M28070-37939,2243 Joplin Ct S,,595500.0,284080.0,100000.0,2021-06-10,49.3,2093.0,2.0,2.8,Sunnyslope,2021-11-13 23:03:51.744471744,4975.0,8658.9,False,2.0,10055.0,
https://www.realtor.com/realestateandhomes-detail/5534-43rd-Pl-NE_Salem_OR_97305_M25746-93011,5534 NE 43rd Pl,,29600.0,10160.0,,2024-09-27,9.7,700.0,2.0,0.9,Northgate,2024-07-22 00:00:00.000000000,197.0,2896.0,False,1.4,1507.0,
https://www.realtor.com/realestateandhomes-detail/2075-Crozer-St-NW_Salem_OR_97304_M20484-07504,2075 Crozer St NW,,525095.0,246620.0,96000.0,2021-10-29,44.6,2796.0,3.0,3.8,West Salem,2022-04-03 23:03:51.744471744,4647.0,9696.0,False,1.0,9611.0,
https://www.realtor.com/realestateandhomes-detail/4397-Essex-St-SE_Salem_OR_97317_M26841-05818,4397 Essex St SE,,106000.0,22870.0,37600.0,2024-01-12,18.2,1344.0,2.0,1.8,Southeast Mill Creek,2023-10-17 00:00:00.000000000,459.0,5560.3,False,1.4,3758.0,
https://www.realtor.com/realestateandhomes-detail/3054-Irish-Ct-NW_Salem_OR_97304_M15680-10833,3054 Irish Ct NW,,513806.0,329800.0,278000.0,2024-10-30,8.6,2161.0,3.0,2.9,West Salem,2025-04-04 23:03:51.744471744,6215.0,8418.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/2767-Kuebler-Rd-S_Salem_OR_97302_M12452-07768,2767 Kuebler Rd S,,,641090.0,239900.0,2022-05-27,37.7,1611.2,3.0,2.2,"Southwest Salem, Croisan-Illahe",2022-10-30 23:03:51.744471744,8136.0,6665.8,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/1220-Parkway-Dr-NW_Salem_OR_97304_M27827-30791,1220 Parkway Dr NW,,494000.0,72320.0,100000.0,2022-02-22,40.8,1676.9,3.1,2.3,West Salem,2022-07-28 23:03:51.744471744,1362.0,9783.0,False,1.4,9649.0,
https://www.realtor.com/realestateandhomes-detail/3476-Lower-Autumn-St-NW_Salem_OR_97304_M95696-73695,3476 Lower Autumn St NW,,712600.0,18040.0,190000.0,2023-03-03,28.5,3018.0,5.5,4.1,West Salem,2023-08-06 23:03:51.744471744,228.0,12485.8,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/960-Orchardview-Ave-NW_Salem_OR_97304_M15631-48254,960 Orchardview Ave NW,,444000.0,244900.0,125000.0,2023-04-21,26.9,1488.0,3.0,2.0,West Salem,2023-09-24 23:03:51.744471744,4615.0,10132.0,False,1.0,11842.0,
https://www.realtor.com/realestateandhomes-detail/2873-Redfir-Ct-NW_Salem_OR_97304_M21174-64964,2873 Redfir Ct NW,,809000.0,464890.0,186000.0,2022-08-01,35.6,2246.6,4.0,3.5,West Salem,2023-01-04 23:03:51.744471744,6834.8,9294.5,False,2.0,,
https://www.realtor.com/realestateandhomes-detail/4155-Lancaster-Dr-NE-Spc-49_Salem_OR_97305_M26820-18925,4155 Lancaster Dr NE Spc 49,Spc 49,235000.0,31250.0,107000.0,2024-06-24,12.8,1188.0,3.0,1.6,Unknown,2024-03-06 00:00:00.000000000,486.0,4914.9,False,1.0,9991.0,
https://www.realtor.com/realestateandhomes-detail/450-Locust-St-NE_Salem_OR_97301_M29379-50046,450 Locust St NE,,271000.0,69510.0,80000.0,2023-05-31,25.6,764.0,2.0,1.0,Highland,2023-11-03 23:03:51.744471744,1364.0,3760.0,False,1.0,7454.0,
https://www.realtor.com/realestateandhomes-detail/3154-Turner-Rd-SE_Salem_OR_97302_M22564-04597,3154 Turner Rd SE,,140000.0,19030.0,50000.0,2023-12-08,19.3,1440.0,2.0,2.0,Southeast Mill Creek,2024-07-30 00:00:00.000000000,372.0,5957.4,False,1.0,4651.0,
https://www.realtor.com/realestateandhomes-detail/355-Kurth-Meadow-Ave-SE_Salem_OR_97306_M90066-63861,355 Kurth Meadow Ave SE,,907929.0,449400.0,165000.0,2021-07-01,48.6,1676.9,3.1,2.3,South Gateway,2021-12-04 23:03:51.744471744,7670.6,6937.7,False,1.4,15291.0,
https://www.realtor.com/realestateandhomes-detail/915-24th-St-SE_Salem_OR_97301_M23239-33633,915 24th St SE,,318800.0,85120.0,100000.0,2023-07-24,23.9,1010.0,2.0,1.4,Southeast Salem,2023-12-27 23:03:51.744471744,1671.0,3780.0,False,1.0,9174.0,
https://www.realtor.com/realestateandhomes-detail/1831-Watson-Butte-Ave-SE_Salem_OR_97306_M94305-87164,1831 Watson Butte Ave SE,,643400.0,301630.0,135000.0,2022-01-31,41.6,2093.0,3.8,2.8,Unknown,2022-07-06 23:03:51.744471744,5922.0,8658.9,False,1.4,12234.0,
https://www.realtor.com/realestateandhomes-detail/1035-19th-St-NE_Salem_OR_97301_M28094-34331,1035 19th St NE,,372900.0,147060.0,93000.0,2022-10-12,33.2,1566.0,4.0,2.1,Northeast Neighbors,2023-03-17 23:03:51.744471744,2887.0,7535.0,False,1.0,8427.0,
https://www.realtor.com/realestateandhomes-detail/124-Broadmore-Ave-NE_Salem_OR_97301_M26432-25079,124 Broadmore Ave NE,,85400.0,11330.0,,2023-11-03,20.5,1056.0,2.0,1.4,Unknown,2024-09-29 00:00:00.000000000,165.0,4368.8,False,1.0,2703.0,
https://www.realtor.com/realestateandhomes-detail/5512-43rd-Ave-NE_Salem_OR_97305_M26537-34075,5512 43rd Ave NE,,51600.0,6620.0,,2024-08-20,10.9,784.0,2.0,1.1,Northgate,2025-05-02 00:00:00.000000000,118.0,3243.5,False,1.0,2340.0,
https://www.realtor.com/realestateandhomes-detail/4940-Sunnyside-Rd-SE-Unit-B4_Salem_OR_97302_M22536-46917,4940 Sunnyside Rd SE Unit B4,Unit B4,87000.0,2340.0,42000.0,2024-07-16,12.1,672.0,2.0,0.9,Faye Wright,2024-05-31 00:00:00.000000000,44.0,2780.1,False,1.4,3722.0,
https://www.realtor.com/realestateandhomes-detail/1630-Wallace-Rd-NW-Unit-37_Salem_OR_97304_M25483-17924,1630 Wallace Rd NW Unit 37,Unit 37,177000.0,83608.9,97000.0,2024-10-08,9.3,1196.0,2.0,1.6,Unknown,2024-09-27 00:00:00.000000000,1495.4,4948.0,False,1.4,8575.0,
https://www.realtor.com/realestateandhomes-detail/6065-Vine-Maple-St_Salem_OR_97306_M94535-59027,6065 Vine Maple St,,799084.0,402030.0,150000.0,2021-06-15,49.1,2597.0,4.8,3.5,South Gateway,2021-11-18 23:03:51.744471744,7893.0,8954.0,False,1.4,13216.0,
https://www.realtor.com/realestateandhomes-detail/5422-Portland-Rd-NE-Unit-72_Salem_OR_97305_M26723-32895,5422 Portland Rd NE Unit 72,Unit 72,76600.0,36183.3,40900.0,2024-09-12,10.2,924.0,2.0,1.3,Northgate,2024-06-28 00:00:00.000000000,647.2,3822.7,False,1.4,3506.0,
https://www.realtor.com/realestateandhomes-detail/740-Glen-Creek-Rd-NW_Salem_OR_97304_M12317-36450,740 Glen Creek Rd NW,,329900.0,148990.0,195000.0,2024-11-15,8.1,1024.0,2.0,1.4,West Salem,2025-04-20 23:03:51.744471744,2807.0,9030.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/6515-Fruitland-Rd-NE_Salem_OR_97317_M21451-80279,6515 Fruitland Rd NE,,898000.0,424185.1,175000.0,2021-06-16,49.1,2731.0,3.0,3.7,Unknown,2021-11-19 23:03:51.744471744,7586.7,11298.4,False,1.0,14731.0,
https://www.realtor.com/realestateandhomes-detail/7991-Liberty-Rd-S_Salem_OR_97306_M15768-74656,7991 Liberty Rd S,,728100.0,393480.0,250000.0,2023-08-23,22.9,3041.0,6.0,2.5,Unknown,2024-01-26 23:03:51.744471744,4993.0,12580.9,False,1.0,,
