property_url,full_street_line,neighborhoods,last_sold_date,sold_price,estimated_value,monthly_appreciation,monthly_appreciation_rate,yearly_appreciation,yearly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/3054-Irish-Ct-NW_Salem_OR_97304_M15680-10833,3054 Irish Ct NW,West Salem,2024-10-30,278000,497219.0,29658,10.668345323741008,355895,128.01978417266187
https://www.realtor.com/realestateandhomes-detail/450-Locust-St-NE_Salem_OR_97301_M29379-50046,450 Locust St NE,Highland,2023-05-31,80000,279266.0,8164,10.205,97965,122.45625
https://www.realtor.com/realestateandhomes-detail/655-Idylwood-Dr-SE_Salem_OR_97302_M95277-36593,655 Idylwood Dr SE,Faye Wright,2023-06-06,125000,429000.0,12556,10.0448,150672,120.5376
https://www.realtor.com/realestateandhomes-detail/4353-Campbell-Dr-SE_Salem_OR_97317_M10853-62768,4353 Campbell Dr SE,Southeast Mill Creek,2024-07-03,180000,380700.0,17760,9.866666666666667,213115,118.39722222222223 real but insane
https://www.realtor.com/realestateandhomes-detail/915-24th-St-SE_Salem_OR_97301_M23239-33633,915 24th St SE,Southeast Salem,2023-07-24,100000,320500.0,9742,9.742,116900,116.9 fake
https://www.realtor.com/realestateandhomes-detail/1910-River-Rd-S_Salem_OR_97302_M10346-55192,1910 River Rd S,South Central,2023-07-28,158000,484500.0,14509,9.182911392405064,174108,110.19493670886075
https://www.realtor.com/realestateandhomes-detail/4966-Rebecca-St-NE_Salem_OR_97305_M14450-05007,4966 Rebecca St NE,Northgate,2024-04-30,207500,447100.0,17876,8.614939759036144,214512,103.37927710843373 real
https://www.realtor.com/realestateandhomes-detail/4972-Textrum-St-SE_Salem_OR_97302_M22414-18613,4972 Textrum St SE,Morningside,2024-12-12,334000,500839.0,27904,8.354491017964072,334851,100.25479041916168 real
https://www.realtor.com/realestateandhomes-detail/1912-Hazel-Ave-NE_Salem_OR_97301_M21336-79624,1912 Hazel Ave NE,Highland,2021-12-30,101000,425000.0,7827,7.74950495049505,93929,92.9990099009901 fake sold for 282k
https://www.realtor.com/realestateandhomes-detail/4378-Essex-St-SE_Salem_OR_97317_M21871-45948,4378 Essex St SE,Southeast Mill Creek,2024-02-23,40000,88300.0,3095,7.7375,37143,92.8575 true real
https://www.realtor.com/realestateandhomes-detail/2232-42nd-Ave-SE-Unit-576_Salem_OR_97317_M23894-44011,2232 42nd Ave SE Unit 576,Southeast Mill Creek,2024-05-17,30000,58900.0,2250,7.5,26999,89.99666666666667 real but something up
https://www.realtor.com/realestateandhomes-detail/878-Limelight-Ave-NW_Salem_OR_97304_M26074-60320,878 Limelight Ave NW,West Salem,2024-02-29,190000,406000.0,14019,7.3784210526315785,168231,88.54263157894738 true real
https://www.realtor.com/realestateandhomes-detail/2232-42nd-Ave-SE-Unit-907_Salem_OR_97317_M28934-72362,2232 42nd Ave SE Unit 907,Southeast Mill Creek,2023-07-11,35000,93200.0,2524,7.211428571428572,30284,86.52571428571429
https://www.realtor.com/realestateandhomes-detail/287-Stoneway-Dr-NW_Salem_OR_97304_M28360-03786,287 Stoneway Dr NW,West Salem,2023-09-11,250000,602040.0,16744,6.6975999999999996,200927,80.3708
https://www.realtor.com/realestateandhomes-detail/2160-Brown-Rd-NE_Salem_OR_97305_M12460-16246,2160 Brown Rd NE,North Lancaster,2023-06-28,160000,409000.0,10601,6.625625,127209,79.50562500000001
https://www.realtor.com/realestateandhomes-detail/5192-Kale-St-NE_Salem_OR_97305_M24292-21292,5192 Kale St NE,Northgate,2024-08-01,298000,502009.0,19714,6.6154362416107375,236573,79.38691275167785
